date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:52	81968/81968	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Mar%202025%2009:23:52%20GMT	https://marketifythemes.net/html/tokyo/img/portfolio/2.jpg	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/img/portfolio/2.jpg	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:53	68113/68113	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Mar%202025%2009:23:53%20GMT	https://marketifythemes.net/html/tokyo/img/portfolio/8.jpg	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/img/portfolio/8.jpg	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:54	465/465	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Mar%202025%2009:23:54%20GMT	https://marketifythemes.net/html/tokyo/img/thumbs/40-25.jpg	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/img/thumbs/40-25.jpg	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:55	89501/89501	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d9d-63518737-70b83488e9dc36a9;gz%22	https://marketifythemes.net/html/tokyo/js/jquery.js	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/js/jquery.js	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:56	224845/224845	---M-Z	200	added ('OK')	application/x-javascript	etag:%2236e4d-63518737-16be0826ea8adb45;gz%22	https://marketifythemes.net/html/tokyo/js/plugins.js	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/js/plugins.js	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:57	16099/16099	---M-Z	200	added ('OK')	application/x-javascript	etag:%223ee3-63518737-bec461b2153e2d52;gz%22	https://marketifythemes.net/html/tokyo/js/init.js	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/js/init.js	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:58	716888/716888	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22af058-63518739-fa78c363dd223fee;gz%22	https://marketifythemes.net/html/tokyo/css/font/fontello.eot?26650032	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/css/font/fontello3b7f.eot	(from https://marketifythemes.net/html/tokyo/css/plugins.css)
14:54:00	343344/343344	---M--	200	added ('OK')	font/woff2	etag:%2253d30-63518739-bcff91e0cb76cc1;;;%22	https://marketifythemes.net/html/tokyo/css/font/fontello.woff2?26650032	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/css/font/fontello3b7f.woff2	(from https://marketifythemes.net/html/tokyo/css/plugins.css)
14:54:01	441824/441824	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226bde0-63518739-2343d3859e60d304;;;%22	https://marketifythemes.net/html/tokyo/css/font/fontello.woff?26650032	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/css/font/fontello3b7f.woff	(from https://marketifythemes.net/html/tokyo/css/plugins.css)
14:54:02	716720/716720	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22aefb0-63518739-2212d162eaae00b8;gz%22	https://marketifythemes.net/html/tokyo/css/font/fontello.ttf?26650032	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/css/font/fontello3b7f.ttf	(from https://marketifythemes.net/html/tokyo/css/plugins.css)
14:54:03	1069730/1069730	---MCZ	200	added ('OK')	image/svg+xml	etag:%221052a2-6351873a-7f5b02012e532f93;gz%22	https://marketifythemes.net/html/tokyo/css/font/fontello.svg?26650032	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/css/font/fontello3b7f.svg	(from https://marketifythemes.net/html/tokyo/css/plugins.css)
14:54:04	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22999-60c22e1c-18340aba16a61863;;;%22	https://marketifythemes.net/html/tokyo/css/owl.video.play.png	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/css/owl.video.play.png	(from https://marketifythemes.net/html/tokyo/css/plugins.css)
14:54:05	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-60c22e1c-18340aba16a61863;gz%22	https://marketifythemes.net/html/tokyo/img.svg	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/img.svg	(from https://marketifythemes.net/html/tokyo/js/init.js)
14:54:05	52/52	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2009:24:05%20GMT	https://marketifythemes.net/html/tokyo/modal/contact.php	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/modal/contact.html	(from https://marketifythemes.net/html/tokyo/js/init.js)
